Major Feature,Sub-Feature (CRUD/Function),Description,Status,Priority,Responsible Person
Reporting System,Update Overtime Hours Report (Update),Edit report,Partially Completed,P1,Dev Team
Reporting System,Delete Overtime Hours Report (Delete),Delete report,Partially Completed,P1,Dev Team
Reporting System,Create Allowance/Bonus Report (Create),Details of bonuses/KPI,Partially Completed,P1,Dev Team
Reporting System,View Allowance/Bonus Report (Read),Display report,Partially Completed,P1,Dev Team
Reporting System,Update Allowance/Bonus Report (Update),Edit report,Partially Completed,P1,Dev Team
Reporting System,Delete Allowance/Bonus Report (Delete),Delete report,Partially Completed,P1,Dev Team
Reporting System,Multi-Condition Filter (Create/Update),Filter by quarter/branch,Partially Completed,P1,Dev Team
Reporting System,View Filter Results (Read),Display filtered data,Partially Completed,P1,Dev Team
Reporting System,Delete Filter (Delete),Delete filter,Partially Completed,P1,Dev Team
Reporting System,Advanced Analytics Dashboard (Create),Pie/bar/line charts,Not Completed,P1,Dev Team
Reporting System,View Dashboard (Read),Display charts,Not Completed,P1,Dev Team
Reporting System,Update Dashboard (Update),Edit charts,Not Completed,P1,Dev Team
Reporting System,Delete Dashboard (Delete),Delete charts,Not Completed,P1,Dev Team
Reporting System,Export Report to Excel (Create),Export Excel file,Not Completed,P1,Dev Team
Reporting System,View Excel File (Read),Open file,Not Completed,P1,Dev Team
Reporting System,Update Excel File (Update),Edit file,Not Completed,P1,Dev Team
Reporting System,Delete Excel File (Delete),Delete file,Not Completed,P1,Dev Team
Reporting System,Export Report to CSV (Create),Export CSV file,Not Completed,P2,Dev Team
Reporting System,View CSV File (Read),Open file,Not Completed,P2,Dev Team
Reporting System,Update CSV File (Update),Edit file,Not Completed,P2,Dev Team
Reporting System,Delete CSV File (Delete),Delete file,Not Completed,P2,Dev Team
Tax and Insurance Management,Calculate Personal Income Tax (Create/Calculate),Auto-calculate tax,Completed,-,Accountant Team
Tax and Insurance Management,View Personal Income Tax (Read),Display tax,Completed,-,Accountant Team
Tax and Insurance Management,Calculate Social Insurance (Create/Calculate),Auto-calculate insurance,Completed,-,Accountant Team
Tax and Insurance Management,View Social Insurance (Read),Display insurance,Completed,-,Accountant Team
Tax and Insurance Management,Extract Insurance Forms (Create),Export TK1-TS/D02-LT,Not Completed,P2,Accountant Team
Tax and Insurance Management,View Insurance Forms (Read),Display forms,Not Completed,P2,Accountant Team
Tax and Insurance Management,Update Insurance Forms (Update),Edit forms,Not Completed,P2,Accountant Team
Tax and Insurance Management,Delete Insurance Forms (Delete),Delete forms,Not Completed,P2,Accountant Team
Real-Time Features,Real-Time Attendance Updates (Emit),Emit attendance events to clients,Completed,-,Dev Team
Real-Time Features,Real-Time Notification Push (Emit),Emit notification events to clients,Completed,-,Dev Team
Real-Time Features,Real-Time Dashboard Updates (Listen),Listen for updates in frontend,Completed,-,Dev Team
Real-Time Features,Real-Time Approval Status Updates (Emit),Emit approval changes,Not Completed,P1,Dev Team
Real-Time Features,Real-Time Salary Calculation Updates (Emit),Emit salary changes,Not Completed,P1,Dev Team
